Study_Hours,Attendance,Previous_Score,Assignments,Extracurricular,Result
2,65,45,5,No,Fail
3,70,50,6,No,Fail
4,72,55,7,Yes,Pass
5,75,60,8,No,Pass
6,80,65,8,Yes,Pass
1,60,40,4,No,Fail
7,85,70,9,Yes,Pass
2,68,48,5,No,Fail
8,90,78,10,Yes,Pass
3,66,52,6,Yes,Fail
4,74,58,7,No,Pass
6,82,68,9,Yes,Pass
1,55,35,3,No,Fail
5,78,62,8,Yes,Pass
7,88,75,9,Yes,Pass
2,63,42,4,No,Fail
4,70,54,6,No,Fail
6,84,69,9,Yes,Pass
3,69,47,5,No,Fail
8,92,82,10,Yes,Pass
5,76,61,7,No,Pass
1,58,38,3,No,Fail
7,86,73,9,Yes,Pass
3,67,50,6,Yes,Fail
6,81,66,8,No,Pass
4,73,57,7,Yes,Pass
2,61,44,5,No,Fail
8,91,80,10,Yes,Pass
5,77,63,8,Yes,Pass
3,65,49,5,No,Fail
7,89,76,9,Yes,Pass
4,71,56,6,No,Pass
6,83,67,9,Yes,Pass
2,64,43,4,No,Fail
5,79,64,8,No,Pass
8,93,85,10,Yes,Pass
1,57,36,3,No,Fail
4,75,59,7,Yes,Pass
7,87,74,9,Yes,Pass
3,68,51,6,No,Fail
6,80,65,8,Yes,Pass
2,62,41,5,No,Fail
5,76,60,7,Yes,Pass
8,90,79,10,Yes,Pass
4,72,55,6,No,Pass
1,59,39,4,No,Fail
7,85,71,9,Yes,Pass
3,66,46,5,No,Fail
6,82,68,8,Yes,Pass
5,78,62,8,No,Pass
